SUM of Eating_Out,SUM of Transport,SUM of Entertainment,SUM of Utilities,SUM of Groceries,SUM of Education,SUM of Healthcare,SUM of Miscellaneous,SUM of Loan_Repayment,SUM of Insurance,SUM of Rent
"₹11,333,025.35","₹20,983,791.53","₹11,209,196.99","₹19,377,830.59","₹40,428,968.05","₹19,253,223.70","₹12,895,074.70","₹6,459,671.48","₹15,885,535.66","₹11,182,028.80","₹70,766,081.05"
,,,,,,,,,,
Income Group,AVERAGE of Desired_Savings_Percentage,,,,,,,,,
Middle,10.47%,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occupation,COUNTA of Person_ID,AVERAGE of Income,,,,,,,,
Professional,1798,"₹45,329.12",,,,,,,,
Retired,1824,"₹45,023.24",,,,,,,,
Self_Employed,1753,"₹45,407.28",,,,,,,,
Student,1743,"₹45,267.94",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Avg Income & Savings by Income Group,,,,,,,,,,
Income Group,Avg Income,Avg Desired Savings,Avg Disposable Income,Avg Desired Savings Percentage,,,,,,
Middle,"₹45,255.01","₹4,764.67","₹11,630.66",10.47%,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Avg Monthly Spending by Occupation,,,,,,,,,,
Occupation,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Miscellaneous,,,
Professional,"₹5,681.32","₹2,943.24","₹1,577.52","₹1,583.07","₹2,715.54","₹1,812.31",₹893.93,"₹17,206.94",,
Retired,"₹5,633.08","₹2,944.65","₹1,577.96","₹1,552.40","₹2,719.57","₹1,795.65",₹909.17,"₹17,132.50",,
Self_Employed,"₹5,726.55","₹2,957.37","₹1,609.78","₹1,585.05","₹2,734.25","₹1,819.88",₹923.11,"₹17,355.99",,
Student,"₹5,680.18","₹2,946.96","₹1,604.41","₹1,579.27","₹2,720.40","₹1,819.29",₹904.09,"₹17,254.60",,
Grand Total,"₹5,679.82","₹2,947.99","₹1,592.16","₹1,574.77","₹2,722.37","₹1,811.61",₹907.51,"₹17,236.24",,
,,,,,,,,,,
Avg Income & Savings by Income Group,,,,,,,,,,
City_Tier,Avg Rent,Avg Loan_Repayment,Avg Insurance,Rent % of Income,,,,,,
Tier_1,"₹13,613.76","₹2,277.61","₹1,574.41",30.00%,,,,,,
Tier_2,"₹9,046.32","₹2,240.51","₹1,574.37",20.00%,,,,,,
Tier_3,"₹6,769.49","₹2,140.51","₹1,556.95",15.00%,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Avg Potential Savings by Category & Income Group,,,,,,,,,,
Income Group,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,,
Middle,"₹5,679.82","₹2,947.99","₹1,592.16","₹1,574.77","₹2,722.37","₹1,811.61","₹2,704.86",₹907.51,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Income & Savings by Age Group,,,,,,,,,,
Grouped Age,Count,Avg Income,Avg Desired Savings,Avg Disposable Income,Avg Savings %,,,,,
10 - 19,299,"₹45,182.91","₹4,673.24","₹11,042.16",10.44%,,,,,
20 - 29,1504,"₹45,222.58","₹4,748.97","₹11,629.94",10.38%,,,,,
30 - 39,1509,"₹45,230.90","₹4,702.43","₹11,567.59",10.44%,,,,,
40 - 49,1532,"₹45,467.34","₹4,883.33","₹11,834.99",10.60%,,,,,
50 - 59,1532,"₹45,269.54","₹4,721.92","₹11,627.59",10.45%,,,,,
60 - 69,742,"₹44,930.37","₹4,803.18","₹11,579.90",10.52%,,,,,
Grand Total,7118,"₹45,255.01","₹4,764.67","₹11,630.66",10.47%,,,,,
,,,,,,,,,,
,,,,,,,,,,
Impact of Dependents on Savings & Spending,,,,,,,,,,
Dependents,Avg Income,Avg Desired Savings,Avg Education,Avg Desired Savings Percentage,Count,,,,,
0,"₹45,260.76","₹4,919.25",₹0.00,10.46%,1455,,,,,
1,"₹45,520.08","₹4,768.64","₹3,443.97",10.58%,1371,,,,,
2,"₹45,063.66","₹4,674.05","₹3,379.02",10.36%,1446,,,,,
3,"₹44,833.63","₹4,669.23","₹3,356.98",10.43%,1456,,,,,
4,"₹45,627.98","₹4,793.19","₹3,422.81",10.53%,1390,,,,,
Grand Total,"₹45,255.01","₹4,764.67","₹2,704.86",10.47%,7118,,,,,
,,,,,,,,,,
,,,,,,,,,,
Avg Income by Occupation & City Tier,,,,,,,,,,
AVERAGE of Income,City_Tier,,,,,,,,,
Occupation,Tier_1,Tier_2,Tier_3,Grand Total,,,,,,
Professional,"₹44,816.33","₹45,321.58","₹46,125.68","₹45,329.12",,,,,,
Retired,"₹44,953.13","₹45,149.96","₹44,802.06","₹45,023.24",,,,,,
Self_Employed,"₹45,761.47","₹45,434.49","₹44,815.92","₹45,407.28",,,,,,
Student,"₹45,975.62","₹45,021.59","₹44,783.29","₹45,267.94",,,,,,
Grand Total,"₹45,379.21","₹45,231.59","₹45,129.93","₹45,255.01",,,,,,
