,,,,,,,,
Income Distribution by Occupation,,,,,,Dependents vs Savings Behavior,,
Cleaned_Occupation,COUNTA of Person_ID,AVERAGE of Cleaned_Income,,,,Cleaned_Dependents,AVERAGE of Cleaned_Desired_Savings_Percentage,AVERAGE of Disposable_Income
Professional,5011,"₹42,020.47",,,,0,9.79%,"₹13,047.80"
Retired,5019,"₹40,666.77",,,,1,9.72%,"₹9,700.75"
Self_Employed,4967,"₹41,829.16",,,,2,9.75%,"₹9,916.38"
Student,5003,"₹41,829.58",,,,3,9.81%,"₹10,115.44"
,,,,,,4,9.95%,"₹10,406.70"
Average Expense Breakdown by City Tier,,,,,,,,
City_Tier,AVERAGE of Cleaned_Rent,AVERAGE of Cleaned_Groceries,AVERAGE of Cleaned_Transport,AVERAGE of Cleaned_Utilities,,,,
Tier_1,"₹12,320.52","₹5,146.00","₹2,673.73","₹2,470.98",,,,
Tier_2,"₹8,342.64","₹5,214.86","₹2,711.04","₹2,515.10",,,,
Tier_3,"₹6,304.71","₹5,271.08","₹2,733.53","₹2,529.94",,,,
,,,,,,,,
Savings Rate by Age Group,,,,,,,,
Grouped Cleaned_Age,AVERAGE of Cleaned_Desired_Savings_Percentage,AVERAGE of Desired_Savings,,,,,,
10 - 19,9.78%,"₹5,074.33",,,,,,
20 - 29,9.79%,"₹5,108.01",,,,,,
30 - 39,9.80%,"₹4,934.84",,,,,,
40 - 49,9.85%,"₹4,955.72",,,,,,
50 - 59,9.79%,"₹4,887.90",,,,,,
60 - 69,9.78%,"₹5,034.87",,,,,,
,,,,,,,,
Expense Category Contribution to Income (%),,,,,,,,
Cleaned_Occupation,AVERAGE of Disposable_Income,,,,,,,
Professional,"₹10,788.19",,,,,,,
Retired,"₹10,418.14",,,,,,,
Self_Employed,"₹10,643.88",,,,,,,
Student,"₹10,739.75",,,,,,,
