Income,Cleaned_Income,Age,Cleaned_Age,Dependents,Cleaned_Dependents,Occupation,Cleaned_Occupation,City_Tier,Rent,Cleaned_Rent,Loan_Repayment,Cleaned_Loan_Repayment,Insurance,Cleaned_Insurance,Groceries,Cleaned_Groceries,Transport,Cleaned_Transport,Eating_Out,Cleaned_Eating_Out,Entertainment,Cleaned_Entertainment,Utilities,Cleaned_Utilities,Healthcare,Cleaned_Healthcare,Education,Cleaned_Education,Miscellaneous,Cleaned_Miscellaneuos,Desired_Savings_Percentage,Cleaned_Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
"₹44,637.25","₹44,637.25",49,49,0,0,Self_Employed,Self_Employed,Tier_1,"₹13,391.17","₹13,391.17",₹0.00,₹0.00,"₹2,206.49","₹2,206.49","₹6,658.77","₹6,658.77","₹2,636.97","₹2,636.97","₹1,651.80","₹1,651.80","₹1,536.18","₹1,536.18","₹2,911.79","₹2,911.79","₹1,546.91","₹1,546.91",₹0.00,₹0.00,₹831.53,₹831.53,13.89094813,13.89%,"₹6,200.54","₹11,265.63","₹1,685.70",₹328.90,₹465.77,₹195.15,₹678.29,₹67.68,₹0.00,₹85.74
"₹26,858.60","₹26,858.60",34,34,2,2,Retired,Retired,Tier_2,"₹5,371.72","₹5,371.72",₹0.00,₹0.00,₹869.52,₹869.52,"₹2,818.44","₹2,818.44","₹1,543.02","₹1,543.02",₹649.38,₹649.38,"₹1,050.24","₹1,050.24","₹1,626.14","₹1,626.14","₹1,137.35","₹1,137.35","₹1,551.72","₹1,551.72",₹564.24,₹564.24,7.160375738,7.16%,"₹1,923.18","₹9,676.82",₹540.31,₹119.35,₹141.87,₹234.13,₹286.67,₹6.60,₹56.31,₹97.39
"₹50,367.61","₹50,367.61",35,35,1,1,Student,Student,Tier_3,"₹7,555.14","₹7,555.14","₹4,612.10","₹4,612.10","₹2,201.80","₹2,201.80","₹6,313.22","₹6,313.22","₹3,221.40","₹3,221.40","₹1,513.81","₹1,513.81","₹1,723.31","₹1,723.31","₹3,368.46","₹3,368.46","₹2,178.52","₹2,178.52","₹3,160.03","₹3,160.03",₹628.37,₹628.37,13.99780754,14.00%,"₹7,050.36","₹13,891.45","₹1,466.07",₹473.55,₹410.86,₹459.97,₹488.38,₹7.29,₹106.65,₹138.54
"₹101,455.60","₹101,455.60",21,21,0,0,Self_Employed,Self_Employed,Tier_3,"₹15,218.34","₹15,218.34","₹6,809.44","₹6,809.44","₹4,889.42","₹4,889.42","₹14,690.15","₹14,690.15","₹7,106.13","₹7,106.13","₹5,040.25","₹5,040.25","₹2,858.19","₹2,858.19","₹6,128.55","₹6,128.55","₹4,571.12","₹4,571.12",₹0.00,₹0.00,"₹2,526.06","₹2,526.06",16.45543972,16.46%,"₹16,694.97","₹31,617.95","₹1,875.93",₹762.02,"₹1,241.02",₹320.19,"₹1,389.82",₹193.50,₹0.00,₹296.04
"₹24,875.28","₹24,875.28",52,52,4,4,Professional,Professional,Tier_2,"₹4,975.06","₹4,975.06","₹3,112.61","₹3,112.61",₹635.91,₹635.91,"₹3,034.33","₹3,034.33","₹1,276.16","₹1,276.16",₹692.83,₹692.83,₹660.19,₹660.19,"₹1,092.69","₹1,092.69","₹1,169.10","₹1,169.10","₹1,445.22","₹1,445.22",₹515.51,₹515.51,7.533982197,7.53%,"₹1,874.10","₹6,265.70",₹788.95,₹68.16,₹61.71,₹187.17,₹194.12,₹47.29,₹67.39,₹96.56
"₹24,875.61","₹24,875.61",57,57,4,4,Self_Employed,Self_Employed,Tier_2,"₹4,975.12","₹4,975.12",₹0.00,₹0.00,"₹1,038.23","₹1,038.23","₹3,250.07","₹3,250.07","₹1,760.16","₹1,760.16","₹1,049.07","₹1,049.07",₹751.02,₹751.02,"₹1,024.31","₹1,024.31","₹1,022.30","₹1,022.30","₹2,003.85","₹2,003.85",₹402.22,₹402.22,5.944241541,5.94%,"₹1,478.67","₹7,599.27",₹957.62,₹521.68,₹135.93,₹148.95,₹86.57,₹13.14,₹33.96,₹96.68
"₹106,119.69","₹106,119.69",53,53,0,0,Self_Employed,Self_Employed,Tier_2,"₹21,223.94","₹21,223.94",₹0.00,₹0.00,"₹4,360.20","₹4,360.20","₹12,790.39","₹12,790.39","₹6,345.74","₹6,345.74","₹4,390.91","₹4,390.91","₹2,626.77","₹2,626.77","₹6,202.55","₹6,202.55","₹3,807.10","₹3,807.10",₹0.00,₹0.00,"₹2,776.77","₹2,776.77",17.33850157,17.34%,"₹18,399.56","₹41,595.33","₹2,799.23",₹912.96,₹438.01,₹541.70,₹838.30,₹111.86,₹0.00,₹409.45
"₹55,431.34","₹55,431.34",40,40,1,1,Professional,Professional,Tier_2,"₹11,086.27","₹11,086.27","₹8,307.70","₹8,307.70","₹1,755.44","₹1,755.44","₹8,194.48","₹8,194.48","₹3,353.00","₹3,353.00","₹1,741.91","₹1,741.91","₹1,219.68","₹1,219.68","₹2,361.98","₹2,361.98","₹2,574.45","₹2,574.45","₹5,520.44","₹5,520.44",₹850.04,₹850.04,11.97231334,11.97%,"₹6,636.41","₹8,465.94","₹1,059.50",₹838.16,₹466.18,₹327.90,₹353.41,₹92.74,₹116.12,₹71.52
"₹20,606.73","₹20,606.73",32,32,4,4,Retired,Retired,Tier_1,"₹6,182.02","₹6,182.02","₹3,562.49","₹3,562.49","₹1,018.59","₹1,018.59","₹3,066.87","₹3,066.87","₹1,170.79","₹1,170.79",₹688.06,₹688.06,₹418.23,₹418.23,₹921.23,₹921.23,₹830.24,₹830.24,"₹1,939.23","₹1,939.23",₹446.07,₹446.07,6.304983639,6.30%,₹362.92,₹362.92,₹822.97,₹213.00,₹85.49,₹97.81,₹252.34,₹9.98,₹59.96,₹80.75
"₹46,304.79","₹46,304.79",30,30,1,1,Student,Student,Tier_2,"₹9,260.96","₹9,260.96",₹0.00,₹0.00,"₹2,130.25","₹2,130.25","₹5,065.63","₹5,065.63","₹2,500.05","₹2,500.05","₹2,040.31","₹2,040.31","₹1,016.61","₹1,016.61","₹2,945.43","₹2,945.43","₹1,649.76","₹1,649.76","₹3,085.99","₹3,085.99",₹919.53,₹919.53,12.12640143,12.13%,"₹5,615.10","₹15,690.26",₹962.02,₹380.27,₹598.88,₹188.31,₹793.64,₹34.87,₹39.74,₹203.15
