Person_ID,Income,Income Group,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Rent % of Income
PID_00001,"₹44,637.25",Middle,49,0,Self_Employed,Tier_1,"₹13,391.17",₹0.00,"₹2,206.49","₹6,658.77","₹2,636.97","₹1,651.80","₹1,536.18","₹2,911.79","₹1,546.91",₹0.00,₹831.53,13.89%,"₹6,200.54","₹11,265.63","₹1,685.70",₹328.90,₹465.77,₹195.15,₹678.29,₹67.68,₹0.00,₹85.74,30.00%
PID_00002,"₹26,858.60",Low,34,2,Retired,Tier_2,"₹5,371.72",₹0.00,₹869.52,"₹2,818.44","₹1,543.02",₹649.38,"₹1,050.24","₹1,626.14","₹1,137.35","₹1,551.72",₹564.24,7.16%,"₹1,923.18","₹9,676.82",₹540.31,₹119.35,₹141.87,₹234.13,₹286.67,₹6.60,₹56.31,₹97.39,20.00%
PID_00003,"₹50,367.61",Middle,35,1,Student,Tier_3,"₹7,555.14","₹4,612.10","₹2,201.80","₹6,313.22","₹3,221.40","₹1,513.81","₹1,723.31","₹3,368.46","₹2,178.52","₹3,160.03",₹628.37,14.00%,"₹7,050.36","₹13,891.45","₹1,466.07",₹473.55,₹410.86,₹459.97,₹488.38,₹7.29,₹106.65,₹138.54,15.00%
PID_00004,"₹101,455.60",High,21,0,Self_Employed,Tier_3,"₹15,218.34","₹6,809.44","₹4,889.42","₹14,690.15","₹7,106.13","₹5,040.25","₹2,858.19","₹6,128.55","₹4,571.12",₹0.00,"₹2,526.06",16.46%,"₹16,694.97","₹31,617.95","₹1,875.93",₹762.02,"₹1,241.02",₹320.19,"₹1,389.82",₹193.50,₹0.00,₹296.04,15.00%
PID_00005,"₹24,875.28",Low,52,4,Professional,Tier_2,"₹4,975.06","₹3,112.61",₹635.91,"₹3,034.33","₹1,276.16",₹692.83,₹660.19,"₹1,092.69","₹1,169.10","₹1,445.22",₹515.51,7.53%,"₹1,874.10","₹6,265.70",₹788.95,₹68.16,₹61.71,₹187.17,₹194.12,₹47.29,₹67.39,₹96.56,20.00%
PID_00006,"₹24,875.61",Low,57,4,Self_Employed,Tier_2,"₹4,975.12",₹0.00,"₹1,038.23","₹3,250.07","₹1,760.16","₹1,049.07",₹751.02,"₹1,024.31","₹1,022.30","₹2,003.85",₹402.22,5.94%,"₹1,478.67","₹7,599.27",₹957.62,₹521.68,₹135.93,₹148.95,₹86.57,₹13.14,₹33.96,₹96.68,20.00%
PID_00007,"₹106,119.69",High,53,0,Self_Employed,Tier_2,"₹21,223.94",₹0.00,"₹4,360.20","₹12,790.39","₹6,345.74","₹4,390.91","₹2,626.77","₹6,202.55","₹3,807.10",₹0.00,"₹2,776.77",17.34%,"₹18,399.56","₹41,595.33","₹2,799.23",₹912.96,₹438.01,₹541.70,₹838.30,₹111.86,₹0.00,₹409.45,20.00%
PID_00008,"₹55,431.34",Middle,40,1,Professional,Tier_2,"₹11,086.27","₹8,307.70","₹1,755.44","₹8,194.48","₹3,353.00","₹1,741.91","₹1,219.68","₹2,361.98","₹2,574.45","₹5,520.44",₹850.04,11.97%,"₹6,636.41","₹8,465.94","₹1,059.50",₹838.16,₹466.18,₹327.90,₹353.41,₹92.74,₹116.12,₹71.52,20.00%
PID_00009,"₹20,606.73",Low,32,4,Retired,Tier_1,"₹6,182.02","₹3,562.49","₹1,018.59","₹3,066.87","₹1,170.79",₹688.06,₹418.23,₹921.23,₹830.24,"₹1,939.23",₹446.07,6.30%,₹362.92,₹362.92,₹822.97,₹213.00,₹85.49,₹97.81,₹252.34,₹9.98,₹59.96,₹80.75,30.00%
PID_00010,"₹46,304.79",Middle,30,1,Student,Tier_2,"₹9,260.96",₹0.00,"₹2,130.25","₹5,065.63","₹2,500.05","₹2,040.31","₹1,016.61","₹2,945.43","₹1,649.76","₹3,085.99",₹919.53,12.13%,"₹5,615.10","₹15,690.26",₹962.02,₹380.27,₹598.88,₹188.31,₹793.64,₹34.87,₹39.74,₹203.15,20.00%
PID_00011,"₹20,706.82",Low,31,0,Student,Tier_3,"₹3,106.02",₹0.00,"₹1,031.78","₹3,037.27","₹1,459.28",₹451.41,₹785.29,"₹1,548.08",₹819.10,₹0.00,₹410.03,8.35%,"₹1,729.70","₹8,058.57",₹503.56,₹392.32,₹35.43,₹230.33,₹262.89,₹38.34,₹0.00,₹77.80,15.00%
PID_00012,"₹20,668.56",Low,31,4,Professional,Tier_2,"₹4,133.71",₹0.00,₹754.45,"₹2,597.40","₹1,123.04",₹878.88,₹643.15,"₹1,408.90","₹1,019.25","₹1,506.36",₹483.81,8.25%,"₹1,704.19","₹6,119.61",₹554.20,₹267.30,₹119.57,₹123.96,₹271.59,₹1.50,₹29.70,₹94.49,20.00%
PID_00013,"₹36,407.22",Middle,54,3,Retired,Tier_1,"₹10,922.17","₹4,583.25",₹970.79,"₹4,685.67","₹2,503.09","₹1,328.96",₹822.88,"₹2,335.94","₹1,153.75","₹1,940.13",₹570.12,7.53%,"₹2,743.08","₹4,590.47",₹445.70,₹190.11,₹346.31,₹85.13,₹474.01,₹40.97,₹85.03,₹40.63,30.00%
PID_00014,"₹6,492.02",Low,22,3,Retired,Tier_3,₹973.80,₹0.00,₹184.24,₹955.50,₹494.82,₹309.24,₹229.83,₹471.87,₹222.65,₹590.05,₹179.09,7.15%,₹464.29,"₹1,880.93",₹180.47,₹38.25,₹59.83,₹49.16,₹60.74,₹3.92,₹20.42,₹46.56,15.00%
PID_00015,"₹7,547.85",Low,39,4,Self_Employed,Tier_2,"₹1,509.57",₹0.00,₹330.19,"₹1,032.73",₹568.24,₹266.44,₹277.47,₹510.60,₹235.71,₹521.98,₹133.49,5.46%,₹412.21,"₹2,161.46",₹208.11,₹114.59,₹72.17,₹77.92,₹97.97,₹2.98,₹4.88,₹36.84,20.00%
PID_00016,"₹19,132.10",Low,45,2,Student,Tier_2,"₹3,826.42","₹2,525.41",₹590.19,"₹2,515.72","₹1,164.07",₹661.75,₹660.75,"₹1,159.58",₹919.43,"₹1,442.91",₹461.51,8.02%,"₹1,533.96","₹3,204.35",₹323.14,₹108.91,₹183.12,₹101.13,₹314.59,₹17.27,₹66.99,₹92.37,20.00%
PID_00017,"₹13,342.21",Low,62,4,Retired,Tier_2,"₹2,668.44","₹2,540.48",₹352.89,"₹1,920.10",₹961.38,₹622.27,₹331.70,₹985.63,₹531.56,"₹1,043.20",₹286.26,8.14%,"₹1,086.13","₹1,098.29",₹568.17,₹205.18,₹154.84,₹96.40,₹263.23,₹20.00,₹5.42,₹61.40,20.00%
PID_00018,"₹38,574.65",Middle,21,4,Professional,Tier_2,"₹7,714.93",₹0.00,"₹1,838.34","₹5,126.82","₹2,614.48","₹1,267.55","₹1,802.74","₹2,081.39","₹1,196.04","₹3,475.98",₹843.80,6.91%,"₹2,666.09","₹10,612.58",₹862.85,₹202.78,₹217.66,₹113.22,₹435.10,₹6.84,₹41.43,₹179.80,20.00%
PID_00019,"₹14,509.13",Low,55,4,Student,Tier_1,"₹4,352.74",₹829.44,₹438.60,"₹1,506.25",₹811.70,₹515.58,₹414.23,₹766.34,₹656.65,"₹1,449.96",₹285.02,7.24%,"₹1,049.97","₹2,482.61",₹384.18,₹194.04,₹34.82,₹99.84,₹55.81,₹7.78,₹41.56,₹84.83,30.00%
PID_00020,"₹9,692.52",Low,46,0,Professional,Tier_2,"₹1,938.50",₹0.00,₹217.59,"₹1,306.54",₹562.10,₹396.06,₹427.91,₹723.64,₹305.65,₹0.00,₹155.46,5.22%,₹505.94,"₹3,659.07",₹138.17,₹102.74,₹118.04,₹69.69,₹66.64,₹3.07,₹0.00,₹19.68,20.00%
PID_00021,"₹96,903.57",High,54,4,Retired,Tier_2,"₹19,380.71","₹9,481.17","₹3,585.07","₹14,257.03","₹6,271.72","₹2,829.05","₹3,879.58","₹4,066.69","₹3,956.93","₹6,227.47","₹2,131.73",13.55%,"₹13,125.69","₹20,836.43","₹4,013.47","₹1,649.69",₹584.64,₹200.13,₹451.54,₹191.91,₹295.42,₹404.04,20.00%
PID_00022,"₹25,042.55",Low,52,4,Self_Employed,Tier_2,"₹5,008.51","₹2,898.04",₹914.22,"₹3,170.69","₹1,947.50","₹1,098.41",₹839.59,"₹1,321.02","₹1,066.04","₹1,470.45",₹407.47,5.75%,"₹1,439.44","₹4,900.62",₹859.65,₹335.61,₹218.41,₹161.42,₹355.09,₹50.18,₹33.31,₹70.79,20.00%
PID_00023,"₹31,665.25",Middle,37,0,Student,Tier_1,"₹9,499.58",₹0.00,"₹1,034.49","₹4,019.47","₹2,180.72","₹1,373.34",₹876.08,"₹1,686.60","₹1,579.08",₹0.00,₹623.56,6.84%,"₹2,164.46","₹8,792.34","₹1,182.46",₹273.20,₹126.66,₹262.09,₹294.82,₹39.03,₹0.00,₹186.74,30.00%
PID_00024,"₹9,596.50",Low,52,4,Retired,Tier_2,"₹1,919.30",₹0.00,₹320.45,"₹1,092.98",₹627.38,₹429.72,₹379.45,₹515.08,₹417.07,₹540.69,₹258.72,5.45%,₹522.91,"₹3,095.66",₹309.58,₹86.11,₹72.54,₹52.32,₹142.54,₹6.44,₹15.95,₹21.10,20.00%
PID_00025,"₹19,408.11",Low,52,3,Retired,Tier_1,"₹5,822.43","₹2,832.16",₹516.12,"₹2,486.69","₹1,346.56",₹956.59,₹930.29,"₹1,041.33",₹592.63,"₹1,604.70",₹452.33,6.12%,₹826.27,₹826.27,₹541.41,₹254.95,₹119.94,₹170.26,₹120.85,₹19.93,₹79.48,₹109.04,30.00%
PID_00026,"₹32,783.83",Middle,37,3,Professional,Tier_2,"₹6,556.77",₹0.00,₹946.62,"₹4,815.61","₹1,788.11","₹1,519.47","₹1,452.26","₹1,557.94","₹1,175.05","₹2,225.12",₹973.88,9.37%,"₹3,073.11","₹9,773.00",₹322.69,₹491.95,₹258.49,₹293.90,₹192.61,₹35.05,₹68.57,₹251.97,20.00%
PID_00027,"₹11,946.07",Low,19,4,Student,Tier_2,"₹2,389.21",₹0.00,₹413.30,"₹1,363.79",₹641.89,₹475.93,₹497.31,₹699.28,₹404.44,₹782.14,₹130.97,5.61%,₹670.45,"₹4,147.83",₹322.02,₹62.93,₹133.38,₹111.36,₹101.63,₹19.87,₹0.22,₹15.69,20.00%
PID_00028,"₹40,518.38",Middle,35,0,Retired,Tier_3,"₹6,077.76",₹0.00,"₹1,992.04","₹6,013.17","₹3,205.86","₹1,070.64","₹1,146.63","₹2,250.44","₹1,221.91",₹0.00,"₹1,073.10",14.79%,"₹5,993.96","₹16,466.83","₹1,338.34",₹502.89,₹77.74,₹271.53,₹266.61,₹47.51,₹0.00,₹61.60,15.00%
PID_00029,"₹18,554.02",Low,47,4,Self_Employed,Tier_2,"₹3,710.80","₹1,192.22",₹916.64,"₹2,512.97","₹1,393.71",₹674.69,₹773.19,"₹1,169.74",₹795.08,"₹1,575.38",₹416.60,9.66%,"₹1,793.11","₹3,422.99",₹338.69,₹400.00,₹151.12,₹189.38,₹128.21,₹29.77,₹31.68,₹111.91,20.00%
PID_00030,"₹23,756.17",Low,59,4,Student,Tier_2,"₹4,751.23",₹0.00,₹537.26,"₹2,635.31","₹1,579.26",₹597.59,"₹1,039.08","₹1,446.64","₹1,068.19","₹2,353.88",₹325.90,6.32%,"₹1,502.40","₹7,421.82",₹597.58,₹234.68,₹134.02,₹290.20,₹358.20,₹17.57,₹88.57,₹56.37,20.00%
PID_00031,"₹18,538.17",Low,46,1,Professional,Tier_2,"₹3,707.63","₹3,359.64",₹874.84,"₹2,506.83","₹1,186.58",₹729.46,₹409.26,₹946.04,₹746.65,"₹1,722.13",₹294.46,9.35%,"₹1,734.17","₹2,054.64",₹265.51,₹183.94,₹106.79,₹122.70,₹203.08,₹36.23,₹78.85,₹46.56,20.00%
PID_00032,"₹132,028.78",High,56,2,Self_Employed,Tier_3,"₹19,804.32",₹0.00,"₹4,383.84","₹15,998.75","₹7,954.56","₹5,733.45","₹4,929.44","₹6,807.52","₹5,860.84","₹8,512.72","₹2,002.06",18.53%,"₹24,469.69","₹50,041.28",₹904.97,₹699.24,"₹1,558.12",₹691.32,₹750.97,₹62.94,₹412.59,₹308.42,15.00%
PID_00033,"₹29,677.81",Low,39,0,Retired,Tier_1,"₹8,903.34","₹2,892.44","₹1,002.34","₹3,838.26","₹1,959.41",₹769.22,"₹1,051.78","₹1,756.56","₹1,046.76",₹0.00,₹397.73,5.15%,"₹1,527.70","₹6,059.97",₹247.53,₹272.65,₹224.49,₹173.63,₹418.87,₹21.00,₹0.00,₹106.30,30.00%
PID_00034,"₹12,871.67",Low,46,2,Retired,Tier_2,"₹2,574.33",₹0.00,₹396.18,"₹1,841.40","₹1,013.27",₹281.06,₹564.11,₹877.64,₹556.88,"₹1,265.06",₹347.85,8.86%,"₹1,139.89","₹3,153.88",₹247.21,₹227.24,₹69.44,₹50.97,₹231.99,₹24.28,₹47.18,₹81.47,20.00%
PID_00035,"₹57,929.88",Middle,63,1,Retired,Tier_2,"₹11,585.98",₹0.00,"₹2,686.89","₹6,416.20","₹3,010.58","₹1,164.43","₹2,301.16","₹3,995.60","₹1,886.01","₹5,289.48",₹772.63,13.17%,"₹7,631.45","₹18,820.94","₹1,643.51",₹786.33,₹117.43,₹636.86,₹808.88,₹89.25,₹14.98,₹161.46,20.00%
PID_00036,"₹11,296.83",Low,27,2,Retired,Tier_2,"₹2,259.37",₹0.00,₹380.88,"₹1,382.73",₹763.56,₹553.77,₹456.43,₹701.87,₹503.31,₹804.28,₹202.74,8.67%,₹979.96,"₹3,287.89",₹307.05,₹98.83,₹28.28,₹73.62,₹67.24,₹13.70,₹9.80,₹60.75,20.00%
PID_00037,"₹35,455.85",Middle,37,4,Professional,Tier_3,"₹5,318.38","₹2,757.06",₹715.15,"₹4,322.43","₹2,783.75",₹951.33,"₹1,212.45","₹2,596.99","₹1,666.03","₹1,978.03",₹976.52,5.76%,"₹2,043.56","₹10,177.72",₹833.33,₹148.98,₹199.46,₹110.19,₹301.23,₹6.41,₹39.53,₹260.51,15.00%
PID_00038,"₹6,255.50",Low,33,3,Self_Employed,Tier_2,"₹1,251.10",₹867.81,₹300.65,₹841.29,₹457.47,₹234.35,₹301.52,₹459.16,₹244.88,₹380.39,₹123.62,6.42%,₹401.79,₹793.26,₹100.04,₹107.95,₹19.50,₹32.07,₹81.00,₹2.68,₹9.44,₹7.55,20.00%
PID_00039,"₹10,367.22",Low,23,0,Student,Tier_3,"₹1,555.08",₹736.93,₹510.30,"₹1,072.11",₹763.02,₹292.24,₹237.31,₹788.00,₹468.32,₹0.00,₹106.25,6.30%,₹653.47,"₹3,837.64",₹142.43,₹189.38,₹31.76,₹32.61,₹177.34,₹13.03,₹0.00,₹10.65,15.00%
PID_00040,"₹35,117.04",Middle,34,0,Retired,Tier_1,"₹10,535.11",₹0.00,"₹1,157.89","₹3,839.29","₹2,433.65","₹1,225.26",₹905.52,"₹2,256.48","₹1,563.45",₹0.00,"₹1,015.76",5.37%,"₹1,886.10","₹10,184.63","₹1,009.95",₹457.10,₹176.96,₹163.23,₹188.01,₹61.26,₹0.00,₹256.27,30.00%
PID_00041,"₹54,161.52",Middle,23,4,Self_Employed,Tier_1,"₹16,248.46","₹5,389.56","₹1,791.87","₹6,609.12","₹4,218.10","₹1,305.24","₹2,483.22","₹3,827.45","₹1,742.98","₹4,771.63",₹599.71,10.88%,"₹5,174.20","₹5,174.20",₹597.39,₹500.00,₹97.73,₹573.79,₹199.14,₹41.12,₹100.81,₹143.37,30.00%
PID_00042,"₹34,408.10",Middle,39,2,Self_Employed,Tier_2,"₹6,881.62",₹0.00,₹706.24,"₹4,377.81","₹2,682.87","₹1,174.12",₹821.54,"₹2,050.95","₹1,117.52","₹3,379.48",₹612.83,9.17%,"₹3,155.76","₹10,603.13","₹1,070.41",₹594.52,₹252.99,₹46.43,₹333.15,₹32.58,₹48.72,₹92.04,20.00%
PID_00043,"₹27,348.97",Low,35,0,Self_Employed,Tier_3,"₹4,102.35",₹0.00,₹712.54,"₹2,794.21","₹1,792.02","₹1,316.56",₹836.46,"₹1,834.63","₹1,129.63",₹0.00,₹682.78,5.60%,"₹1,532.17","₹12,147.80",₹250.69,₹268.03,₹233.27,₹143.62,₹161.11,₹4.60,₹0.00,₹44.29,15.00%
PID_00044,"₹23,578.01",Low,49,1,Self_Employed,Tier_2,"₹4,715.60",₹0.00,₹556.53,"₹2,880.50","₹1,706.69","₹1,147.91",₹492.81,"₹1,880.17",₹893.56,"₹1,435.08",₹669.47,9.96%,"₹2,348.48","₹7,199.68",₹740.94,₹221.97,₹95.27,₹26.86,₹528.26,₹37.15,₹65.33,₹114.62,20.00%
PID_00045,"₹9,192.43",Low,45,1,Professional,Tier_2,"₹1,838.49","₹1,648.01",₹403.24,"₹1,204.57",₹732.10,₹299.63,₹299.46,₹696.37,₹390.48,₹880.13,₹257.62,9.68%,₹542.32,₹542.32,₹136.63,₹136.51,₹72.15,₹73.14,₹76.74,₹4.13,₹35.25,₹70.16,20.00%
